latitude,longitude,district,state,elevation,slope,aspect,rainfall_24hr,rainfall_7days,ndvi,soil_moisture,distance_to_road,month,landslide
26.8839,94.5609,Jorhat,NER,2069.0,5.3,135.8,0.7,5.1,0.508,0.663,1982.8,6,0
26.5434,92.9346,Tezpur,NER,1415.1,8.1,46.0,10.0,53.8,0.888,0.84,4656.9,6,0
27.3046,93.5269,Itanagar,NER,1034.1,16.7,206.4,0.9,3.2,0.775,0.779,3627.6,8,0
24.8835,93.7879,Imphal,NER,274.6,16.1,355.2,13.3,121.5,0.608,0.37,949.6,9,0
23.5437,91.1893,Agartala,NER,1224.8,10.3,346.4,6.5,23.3,0.704,0.958,5171.0,8,0
26.8297,92.9421,Tezpur,NER,1355.4,18.8,210.4,8.9,83.8,0.922,0.517,2081.7,9,0
27.2305,94.5086,Dibrugarh,NER,723.9,11.7,217.0,1.2,11.1,0.698,0.614,326.0,9,0
26.9592,93.5856,Itanagar,NER,1095.6,27.0,340.1,5.5,26.0,0.559,0.671,4211.1,7,0
27.2216,94.8188,Dibrugarh,NER,1711.8,28.9,198.7,0.6,5.3,0.437,0.785,4669.2,6,0
27.8338,95.2275,Dibrugarh,NER,1041.4,3.7,282.1,2.4,15.7,0.694,0.634,2930.0,9,0
25.5781,92.0109,Shillong,NER,889.0,4.3,46.1,5.1,40.3,0.662,0.455,1842.3,8,0
25.9021,91.7309,Shillong,NER,524.8,9.5,131.1,4.7,24.5,0.343,0.775,341.5,7,0
26.3954,91.5539,Guwahati,NER,1895.8,14.0,222.6,7.6,60.9,0.63,0.559,221.6,8,0
24.1006,91.6369,Agartala,NER,314.1,22.4,127.8,4.6,16.6,0.311,0.723,273.0,6,0
24.8778,94.1919,Imphal,NER,686.4,19.3,306.3,3.9,16.5,0.298,0.64,3397.3,7,0
25.6345,94.3548,Kohima,NER,1824.3,14.5,348.5,3.7,24.2,0.533,0.604,1740.9,9,0
26.9146,92.2945,Tezpur,NER,986.2,47.4,246.4,2.0,15.2,0.656,0.898,6706.4,9,1
25.8604,94.0532,Kohima,NER,1831.8,16.7,67.1,10.9,72.9,0.724,0.614,1242.3,8,0
24.1203,93.3194,Aizawl,NER,952.9,5.8,195.4,32.8,242.5,0.561,0.552,1524.8,7,0
26.941,93.0162,Tezpur,NER,443.5,28.4,37.0,0.8,7.0,0.496,0.538,2546.2,6,0
26.5842,94.7318,Jorhat,NER,1537.7,21.2,152.5,34.3,139.9,0.615,0.272,4113.4,7,0
26.4692,93.1906,Tezpur,NER,265.4,15.3,301.5,13.6,90.2,0.212,0.635,811.4,6,0
26.9252,93.1533,Itanagar,NER,2304.3,31.8,112.1,5.8,43.0,0.496,0.426,138.9,6,0
25.7075,94.0755,Kohima,NER,557.7,7.7,279.2,7.5,50.6,0.329,0.641,635.7,8,0
27.4035,94.8014,Dibrugarh,NER,474.8,15.6,83.2,7.0,50.5,0.556,0.949,2551.7,8,0
25.8733,94.2433,Kohima,NER,2092.5,37.9,322.7,10.0,81.8,0.616,0.688,3487.2,8,0
23.9544,92.9469,Aizawl,NER,1082.6,11.4,274.9,0.8,5.6,0.441,0.552,1436.8,9,0
27.0655,95.133,Dibrugarh,NER,434.5,5.5,329.1,11.3,73.0,0.52,0.621,612.2,6,0
25.7543,94.3235,Kohima,NER,1286.3,6.3,151.9,2.1,17.3,0.779,0.774,681.3,7,0
26.3644,92.1903,Guwahati,NER,2378.3,21.3,97.2,3.0,21.8,0.549,0.322,156.2,8,0
26.889,93.8504,Itanagar,NER,1203.2,32.3,346.4,20.0,122.5,0.418,0.864,3285.6,6,0
24.8219,93.9434,Imphal,NER,2268.1,21.7,15.9,17.3,73.7,0.714,0.822,7084.9,9,0
27.7859,95.317,Dibrugarh,NER,1646.9,40.3,190.9,15.1,52.0,0.633,0.149,1913.5,7,0
23.2843,92.7968,Aizawl,NER,100.6,12.6,3.4,9.7,56.5,0.516,0.872,2924.4,6,0
24.2513,92.7705,Aizawl,NER,108.0,3.3,212.1,0.1,1.2,0.163,0.258,1260.0,9,0
27.0358,93.5909,Itanagar,NER,1063.8,13.2,16.9,1.7,7.1,0.449,0.321,4304.6,6,0
23.3203,91.3332,Agartala,NER,1336.6,17.3,224.3,5.1,36.7,0.382,0.748,6231.4,6,0
26.9837,93.772,Itanagar,NER,1864.5,15.2,346.4,7.7,27.1,0.57,0.415,3482.3,9,0
27.8011,94.9498,Dibrugarh,NER,1861.4,25.4,57.7,12.1,95.3,0.752,0.805,2721.3,6,0
26.694,93.2702,Tezpur,NER,720.9,20.5,41.7,11.7,79.5,0.431,0.528,6593.2,7,0
25.4461,91.9482,Shillong,NER,822.3,11.8,223.5,19.1,190.0,0.433,0.961,3446.5,8,0
27.1649,94.1861,Jorhat,NER,2366.3,5.9,107.4,0.6,4.4,0.783,0.26,1132.4,9,0
25.2118,92.388,Shillong,NER,758.1,14.1,76.7,13.5,108.1,0.317,0.889,333.7,9,0
27.3255,95.1028,Dibrugarh,NER,415.0,26.5,173.3,10.6,77.2,0.692,0.905,2108.3,7,0
27.2796,95.2087,Dibrugarh,NER,1192.5,30.0,250.2,20.3,190.2,0.738,0.695,1316.9,6,0
25.8665,91.6737,Guwahati,NER,883.5,17.4,28.3,4.5,44.6,0.414,0.847,2219.7,7,0
26.8132,94.4841,Jorhat,NER,1579.9,3.1,225.1,2.8,24.1,0.813,0.573,170.3,9,0
24.3848,92.6305,Aizawl,NER,1577.8,24.3,156.1,4.6,31.7,0.509,0.332,2101.5,9,0
26.6263,93.7964,Jorhat,NER,588.6,11.3,304.6,2.8,15.8,0.595,0.757,4619.3,6,0
24.3642,90.8968,Agartala,NER,1218.0,3.2,216.7,3.2,31.0,0.407,0.71,4092.0,7,0
26.2035,94.3754,Kohima,NER,328.6,3.6,3.3,9.9,38.8,0.541,0.636,571.9,6,0
25.9174,91.3486,Guwahati,NER,1010.5,2.4,253.9,5.9,53.3,0.498,0.577,80.3,9,0
24.6037,93.9973,Imphal,NER,1751.7,4.1,116.3,13.5,83.4,0.507,0.052,60.9,6,0
27.6538,94.594,Dibrugarh,NER,2427.8,22.6,63.8,12.6,124.5,0.529,0.578,240.1,7,0
26.7,92.477,Tezpur,NER,1681.3,27.4,359.8,4.5,40.5,0.609,0.674,2898.0,7,0
26.9292,94.4304,Jorhat,NER,2014.8,29.3,2.1,9.9,72.3,0.146,0.583,29.6,8,0
26.3338,94.4369,Kohima,NER,1212.4,29.2,9.2,1.3,5.4,0.775,0.294,1594.4,7,0
25.8077,91.9744,Shillong,NER,684.4,11.6,92.4,7.4,70.3,0.95,0.836,3465.2,9,0
24.1976,92.4292,Aizawl,NER,1360.4,19.9,346.7,0.6,5.3,0.363,0.968,2032.1,9,0
27.2738,93.9682,Itanagar,NER,519.5,24.3,92.0,2.1,18.8,0.914,0.655,367.9,9,0
28.1135,95.6504,Dibrugarh,NER,528.3,3.8,92.5,6.0,39.0,0.421,0.245,2358.1,6,0
26.2553,94.5337,Jorhat,NER,2273.3,6.8,144.4,1.7,9.4,0.557,0.618,4241.8,6,0
25.0204,93.866,Imphal,NER,556.8,8.1,120.1,9.6,93.5,0.658,0.658,2822.5,7,0
25.6844,93.9498,Kohima,NER,465.8,12.7,224.5,18.1,163.8,0.581,0.907,850.3,7,0
25.7877,91.4856,Guwahati,NER,1173.3,2.9,357.2,3.3,21.5,0.556,0.975,1520.6,6,0
26.5496,94.5176,Jorhat,NER,294.2,7.4,351.2,18.0,126.4,0.156,0.682,3488.2,9,0
27.7495,95.0623,Dibrugarh,NER,1138.0,41.2,230.7,0.1,0.9,0.609,0.747,475.9,6,0
27.5146,94.8089,Dibrugarh,NER,2460.8,12.8,36.4,7.8,57.5,0.295,0.791,3768.0,9,0
25.4278,91.8514,Shillong,NER,567.1,17.8,276.9,3.3,13.1,0.487,0.821,420.7,7,0
25.7049,92.2129,Shillong,NER,577.3,7.2,95.8,4.5,18.1,0.784,0.769,3074.4,6,0
26.6159,93.7074,Itanagar,NER,2362.8,10.4,91.1,4.1,30.8,0.474,0.661,138.0,9,0
26.5687,94.1973,Jorhat,NER,191.3,16.2,12.8,8.9,48.8,0.354,0.615,207.2,9,0
25.821,94.4088,Kohima,NER,1599.2,10.7,278.9,21.4,136.0,0.5,0.446,242.0,6,0
27.3605,94.6582,Dibrugarh,NER,2327.4,17.7,220.7,3.7,35.5,0.541,0.729,1570.6,7,0
25.4719,91.5019,Shillong,NER,229.3,23.5,262.1,1.6,13.3,0.732,0.427,2639.5,7,0
25.5702,91.7635,Guwahati,NER,1456.1,20.3,57.6,9.5,82.7,0.658,0.62,744.8,7,0
23.6708,93.1834,Aizawl,NER,1000.6,17.6,299.8,2.6,25.6,0.567,0.605,4185.5,7,0
27.1191,92.4249,Tezpur,NER,1973.0,13.5,64.2,11.3,61.9,0.44,0.837,1645.0,7,0
27.2636,95.3918,Dibrugarh,NER,155.0,37.1,268.5,14.3,122.3,0.627,0.069,1138.4,7,1
26.8819,93.0647,Tezpur,NER,818.7,27.8,246.9,18.3,104.1,0.927,0.934,49.0,8,0
24.4577,93.3712,Imphal,NER,2357.6,12.4,67.0,3.8,36.4,0.511,0.51,4802.4,6,0
26.4693,92.9406,Tezpur,NER,1564.5,23.2,24.8,0.3,1.0,0.359,0.468,3725.9,9,0
27.1736,93.4622,Itanagar,NER,250.4,15.1,125.0,2.7,22.0,0.324,0.409,3519.0,8,0
27.2225,93.6186,Itanagar,NER,447.9,7.0,340.9,2.9,10.9,0.465,0.492,243.8,9,0
24.1746,91.7116,Agartala,NER,1417.2,14.8,50.7,22.1,170.0,0.463,0.355,128.6,7,0
23.1901,91.269,Agartala,NER,2193.1,28.1,45.5,21.2,192.5,0.492,0.744,1377.6,8,0
25.9888,92.4888,Tezpur,NER,324.2,6.0,128.4,5.7,42.8,0.461,0.909,3152.6,6,0
26.7853,94.4567,Jorhat,NER,505.3,15.6,263.7,1.1,6.7,0.568,0.457,1407.2,9,0
23.8403,92.5351,Aizawl,NER,875.2,7.5,10.6,14.7,52.4,0.389,0.665,754.8,9,0
27.4953,93.5926,Itanagar,NER,2087.8,1.2,36.2,3.6,33.9,0.382,0.38,1721.9,6,0
26.6547,94.0174,Jorhat,NER,109.2,6.7,26.2,6.9,53.9,0.163,0.543,2905.4,9,0
27.5239,95.1678,Dibrugarh,NER,100.5,30.8,137.4,5.6,54.9,0.264,0.767,5003.9,7,0
27.2539,93.5421,Itanagar,NER,1909.5,27.7,40.5,1.5,5.2,0.21,0.576,4195.0,7,0
25.2683,93.9087,Imphal,NER,2007.0,13.9,299.3,6.7,54.7,0.782,0.529,6239.2,8,0
23.187,92.5136,Aizawl,NER,1143.0,13.5,218.6,5.9,50.2,0.83,0.638,609.5,8,0
23.5277,92.9921,Aizawl,NER,107.0,10.5,169.1,2.7,17.1,0.591,0.869,1453.7,6,1
26.0472,91.5144,Guwahati,NER,2026.2,25.6,41.0,21.2,148.8,0.511,0.716,988.2,8,0
25.7401,94.2626,Kohima,NER,1559.0,28.1,0.6,0.0,0.2,0.475,0.594,1814.3,8,0
26.4657,91.8936,Guwahati,NER,1704.6,9.6,229.0,1.4,5.9,0.203,0.847,3532.4,7,0
27.46,94.8476,Dibrugarh,NER,808.1,41.2,201.1,6.3,54.8,0.516,0.664,3957.3,8,0
27.4196,94.6313,Dibrugarh,NER,1490.2,1.9,184.2,3.8,15.0,0.481,0.432,2075.9,9,0
26.5066,91.7734,Guwahati,NER,1492.5,7.6,82.3,4.7,45.8,0.463,0.803,2822.9,9,0
23.7215,91.252,Agartala,NER,2232.2,29.3,194.9,4.3,29.1,0.253,0.671,3506.8,6,0
23.7796,91.1384,Agartala,NER,748.6,13.9,50.1,1.6,14.2,0.676,0.729,1237.7,8,0
25.2997,94.101,Kohima,NER,1403.3,9.9,47.0,8.0,27.1,0.904,0.556,2809.9,8,0
23.9261,92.2856,Aizawl,NER,587.7,8.0,207.8,22.5,139.2,0.066,0.932,1294.4,8,0
25.6015,94.4501,Kohima,NER,2132.7,10.3,333.5,9.6,91.1,0.95,0.765,1504.0,9,0
27.0542,94.0593,Jorhat,NER,134.4,20.4,271.2,11.5,99.7,0.693,0.549,2568.6,6,0
26.4474,92.7566,Tezpur,NER,937.2,17.5,343.8,20.3,157.9,0.523,0.196,3981.4,8,0
24.1007,92.6735,Aizawl,NER,2274.7,34.2,352.4,1.6,9.5,0.523,0.398,1210.1,6,0
24.8729,93.7925,Imphal,NER,680.6,20.1,187.3,16.6,133.3,0.325,0.466,1029.8,6,0
26.3837,91.5521,Guwahati,NER,762.8,21.4,129.7,8.3,75.5,0.775,0.698,947.4,8,0
26.8296,94.0452,Jorhat,NER,1285.2,39.8,60.1,13.9,59.4,0.418,0.635,1380.6,6,0
26.8011,93.6015,Itanagar,NER,1622.6,11.8,259.1,7.1,45.0,0.495,0.902,2109.0,6,0
25.0554,93.5832,Imphal,NER,1811.7,32.8,20.9,17.8,121.0,0.671,0.766,3643.6,7,0
24.0277,91.1973,Agartala,NER,740.0,19.2,274.4,14.9,125.1,0.638,0.662,35.4,8,0
26.1977,91.486,Guwahati,NER,1640.5,13.1,316.5,0.2,2.2,0.707,0.592,721.7,8,0
27.145,93.8107,Itanagar,NER,1236.2,20.1,86.1,31.7,215.6,0.298,0.454,1726.9,9,0
25.2817,92.161,Shillong,NER,493.3,10.9,21.8,0.7,3.0,0.37,0.46,553.9,7,0
25.6123,92.0135,Shillong,NER,2328.8,11.2,201.9,6.9,30.7,0.464,0.684,1148.9,7,0
23.8296,92.4733,Aizawl,NER,1775.9,21.2,111.6,11.9,91.5,0.486,0.849,24.4,7,1
25.8484,91.255,Shillong,NER,2031.4,25.6,88.5,4.4,33.4,0.478,0.79,5012.5,6,0
23.349,91.6376,Agartala,NER,702.4,6.5,69.0,24.4,78.0,0.301,0.571,320.8,6,0
27.1318,93.7953,Itanagar,NER,1147.9,9.6,127.1,23.4,208.8,0.834,0.509,589.6,8,0
24.0249,92.7477,Aizawl,NER,974.5,13.5,297.6,4.0,31.7,0.757,0.514,1549.1,8,0
23.6798,92.9198,Aizawl,NER,1412.1,30.8,260.3,1.7,8.8,0.344,0.375,3773.4,9,0
27.1254,94.6538,Dibrugarh,NER,400.9,6.2,53.9,0.5,3.7,0.4,0.385,6082.4,9,0
27.2426,93.5761,Itanagar,NER,1617.2,24.6,62.0,18.0,158.4,0.766,0.701,3956.5,6,0
27.2493,93.4525,Itanagar,NER,905.5,5.8,202.3,8.0,41.3,0.706,0.727,3706.6,8,1
25.563,94.3771,Kohima,NER,1411.4,21.0,310.6,21.7,173.7,0.418,0.601,761.2,6,0
26.9052,93.8516,Itanagar,NER,1599.7,25.1,242.6,1.4,4.3,0.305,0.569,1860.3,9,0
26.3509,91.5793,Guwahati,NER,1745.1,3.8,231.0,15.4,58.8,0.44,0.594,786.8,7,0
26.7015,93.6432,Itanagar,NER,2429.6,19.2,152.2,7.3,25.8,0.628,0.755,310.8,8,0
25.4433,93.905,Imphal,NER,1769.9,9.3,253.4,3.4,26.1,0.375,0.483,1821.0,7,0
26.0998,91.4379,Guwahati,NER,1569.4,2.8,138.8,2.9,18.0,0.528,0.587,214.9,8,1
24.5041,94.1584,Imphal,NER,302.3,11.8,157.8,8.9,64.9,0.609,0.281,444.5,8,0
26.4404,92.5388,Tezpur,NER,694.1,19.5,242.2,5.4,29.0,0.496,0.583,1441.5,7,0
25.4522,94.0545,Kohima,NER,2309.8,20.9,322.3,0.2,2.0,0.607,0.771,1384.0,6,0
25.4611,92.309,Shillong,NER,1300.2,13.3,146.7,6.8,64.1,0.6,0.803,349.8,8,1
24.074,91.5227,Agartala,NER,1170.9,11.9,267.3,20.6,175.4,0.153,0.73,875.2,7,0
23.5084,92.3924,Aizawl,NER,2268.5,36.1,124.1,9.2,55.9,0.329,0.57,250.1,9,1
25.3844,94.1395,Kohima,NER,1994.6,42.4,263.7,2.8,15.1,0.66,0.642,563.0,8,1
24.55,93.5723,Imphal,NER,1898.5,17.9,313.7,11.9,94.4,0.55,0.333,245.2,8,0
24.0073,92.85,Aizawl,NER,595.0,9.5,150.9,6.3,56.7,0.585,0.224,2508.0,6,0
24.8942,94.4676,Imphal,NER,2106.7,17.2,285.0,8.3,72.9,0.467,0.056,659.5,7,0
25.3379,94.0273,Kohima,NER,1400.2,23.2,135.2,30.2,139.5,0.438,0.511,2452.7,6,0
26.6109,92.6814,Tezpur,NER,2330.3,28.8,227.5,17.3,118.2,0.829,0.657,2224.4,7,0
24.1531,92.3506,Aizawl,NER,1037.8,23.5,278.7,10.1,74.9,0.257,0.824,451.9,7,0
25.9702,94.1956,Kohima,NER,2184.7,19.2,48.1,17.3,131.4,0.418,0.706,784.6,8,0
25.5642,91.586,Shillong,NER,1528.7,16.4,273.9,18.0,151.7,0.657,0.429,613.1,7,0
26.8837,94.5534,Jorhat,NER,2159.5,7.7,265.0,55.6,488.2,0.456,0.576,12088.3,8,0
26.3237,91.6512,Guwahati,NER,132.9,33.6,184.2,9.7,71.3,0.773,0.476,2827.2,7,0
23.9001,90.9584,Agartala,NER,1466.8,9.3,227.9,36.2,357.4,0.774,0.784,2246.5,6,0
27.5071,94.7542,Dibrugarh,NER,1646.2,16.7,291.7,1.3,10.5,0.4,0.874,38.7,6,0
23.6763,92.3396,Aizawl,NER,1191.7,19.6,317.4,9.9,49.0,0.58,0.784,1101.0,7,1
26.6047,92.4608,Tezpur,NER,2171.2,17.8,289.0,2.2,10.1,0.389,0.479,2991.4,8,0
23.1254,92.3446,Aizawl,NER,1706.3,10.2,149.8,3.0,19.1,0.452,0.884,789.8,7,0
25.5212,93.9955,Kohima,NER,952.8,12.5,311.3,3.2,11.7,0.616,0.546,1302.1,8,0
25.2321,94.3444,Kohima,NER,1270.8,20.2,20.5,3.0,13.1,0.676,0.332,1653.6,9,0
25.3047,93.9602,Kohima,NER,1274.5,8.7,130.1,16.1,62.1,0.407,0.79,1438.6,8,0
25.2134,94.0287,Imphal,NER,993.2,4.1,100.3,4.5,26.3,0.331,0.504,927.8,9,0
27.1215,93.9569,Jorhat,NER,1475.7,23.4,224.5,18.4,135.6,0.423,0.794,5070.0,7,1
25.5815,93.9131,Kohima,NER,2280.2,5.4,175.4,8.4,66.5,0.509,0.481,2244.2,7,0
23.3646,92.9161,Aizawl,NER,1708.1,30.8,100.2,3.8,34.1,0.239,0.681,659.9,6,0
26.2389,91.3639,Guwahati,NER,233.3,28.5,308.3,17.6,100.8,0.671,0.417,846.5,9,0
27.1125,94.7308,Jorhat,NER,1668.1,15.2,182.3,3.8,18.8,0.748,0.826,605.0,7,0
25.5911,94.2086,Kohima,NER,2353.6,18.9,255.6,1.6,15.9,0.464,0.428,1725.0,8,0
25.8132,91.8313,Shillong,NER,2175.9,24.4,272.7,2.5,19.7,0.639,0.606,1124.1,9,0
24.793,93.5493,Imphal,NER,380.6,18.0,227.6,0.8,5.6,0.495,0.619,1672.2,9,0
26.8099,94.6378,Jorhat,NER,2362.4,1.5,27.2,0.8,8.3,0.407,0.7,1519.8,6,0
24.0333,91.5172,Agartala,NER,1447.0,21.2,281.5,2.8,9.5,0.576,0.469,1723.8,9,0
25.1794,91.814,Shillong,NER,2250.1,25.3,129.0,12.3,55.7,0.589,0.819,1229.1,6,0
26.7074,93.9923,Jorhat,NER,1544.0,12.3,222.9,5.5,44.1,0.523,0.393,159.8,9,0
26.6971,92.9228,Tezpur,NER,212.3,12.9,159.9,3.6,27.5,0.522,0.489,341.1,9,0
26.29,92.7123,Tezpur,NER,2210.4,3.9,344.9,12.1,40.5,0.099,0.611,88.0,6,0
23.651,92.9525,Aizawl,NER,451.4,14.5,136.5,6.9,41.9,0.578,0.906,484.7,8,0
26.9114,94.4692,Jorhat,NER,1772.1,9.3,295.4,29.3,170.2,0.409,0.71,2329.8,8,0
26.9991,93.561,Itanagar,NER,1292.5,27.7,159.2,26.6,95.6,0.618,0.521,1844.9,7,0
26.9409,94.0668,Jorhat,NER,2375.8,10.4,12.9,0.6,2.0,0.168,0.791,731.8,7,1
26.6593,92.8124,Tezpur,NER,760.6,17.1,198.0,0.7,3.8,0.496,0.655,183.3,9,0
26.0544,92.617,Tezpur,NER,2189.7,0.4,190.8,2.4,10.9,0.656,0.738,268.4,8,0
25.1923,93.911,Imphal,NER,1773.2,20.1,322.4,0.9,3.3,0.705,0.669,1577.5,9,0
25.7245,91.6812,Shillong,NER,965.1,4.4,56.2,1.2,5.2,0.798,0.575,1928.7,8,0
24.1793,92.7756,Aizawl,NER,2075.9,26.4,91.1,4.8,16.4,0.415,0.587,329.2,9,0
25.297,94.2152,Imphal,NER,1480.9,4.8,249.2,2.6,19.9,0.3,0.768,240.8,9,0
23.7477,90.8017,Agartala,NER,403.3,23.4,173.8,6.5,44.3,0.646,0.707,103.5,7,0
26.6537,93.6605,Tezpur,NER,266.5,22.8,146.4,12.7,126.4,0.726,0.921,1906.4,9,0
23.9923,92.9158,Aizawl,NER,1620.9,4.3,123.4,11.2,106.0,0.301,0.846,4436.5,9,1
27.0268,93.8307,Jorhat,NER,131.0,7.5,197.6,12.8,127.0,0.95,0.802,169.0,7,0
25.2356,93.1937,Imphal,NER,2196.7,7.6,242.1,10.5,82.3,0.82,0.454,3260.3,7,0
26.4522,94.4435,Jorhat,NER,547.9,32.1,306.0,2.6,17.6,0.202,0.258,2952.5,8,0
23.7228,92.8524,Aizawl,NER,260.1,16.0,97.8,3.4,17.5,0.717,0.397,2048.7,7,0
27.2722,93.9232,Itanagar,NER,909.5,13.8,351.1,8.1,42.9,0.594,0.224,1063.0,6,0
23.5337,93.0327,Aizawl,NER,1491.4,29.3,59.8,10.7,107.2,0.137,0.868,1166.9,8,0
24.4034,93.2575,Imphal,NER,1853.2,7.9,189.1,6.0,32.1,0.452,0.76,468.5,7,1
26.1036,91.6177,Guwahati,NER,336.6,15.6,244.2,15.9,91.9,0.396,0.26,5612.5,9,0
23.3142,92.2901,Aizawl,NER,856.0,17.2,70.3,0.9,8.1,0.687,0.712,6012.9,6,1
27.7141,93.7282,Itanagar,NER,943.7,5.2,270.8,6.8,22.8,0.497,0.602,3216.7,7,0
24.0797,93.4869,Imphal,NER,135.0,23.5,5.2,5.7,24.3,0.579,0.831,167.0,6,0
26.7897,94.0648,Jorhat,NER,1028.1,9.9,137.8,2.2,13.6,0.05,0.365,597.1,8,0
23.7826,92.319,Aizawl,NER,1649.4,8.6,45.7,16.5,128.1,0.771,0.578,114.0,7,0
26.7385,93.5116,Itanagar,NER,904.9,9.1,141.5,1.2,4.2,0.683,0.312,806.9,6,0
27.9099,95.2911,Dibrugarh,NER,2125.0,35.1,176.4,3.5,34.6,0.65,0.643,3574.9,6,0
26.6197,91.5748,Guwahati,NER,1721.8,38.5,276.8,1.0,3.9,0.571,0.764,1083.9,6,0
27.1159,94.9891,Dibrugarh,NER,1232.2,24.2,9.1,7.5,24.7,0.342,0.914,279.7,7,0
26.5378,92.6406,Tezpur,NER,1538.3,10.2,8.6,1.3,5.0,0.544,0.485,897.7,7,0
26.7386,94.2349,Jorhat,NER,154.2,12.7,291.7,9.5,48.0,0.385,0.326,1145.4,8,0
25.4097,92.4661,Shillong,NER,295.8,6.0,102.0,3.0,21.6,0.291,0.782,618.5,9,0
27.0678,93.9198,Itanagar,NER,1455.0,20.3,259.3,1.4,10.7,0.472,0.791,1435.8,8,0
24.0938,92.8642,Aizawl,NER,300.9,8.3,54.7,3.3,13.1,0.789,0.722,1115.4,9,0
25.1417,91.7396,Shillong,NER,746.0,4.8,270.5,14.5,58.0,0.565,0.558,4671.2,8,0
26.5067,93.8858,Jorhat,NER,2041.2,9.6,275.3,16.2,59.6,0.464,0.882,730.7,6,1
25.0255,93.9357,Imphal,NER,302.2,16.8,289.2,8.1,66.7,0.688,0.288,110.3,6,0
24.9717,94.2335,Imphal,NER,1626.5,43.1,285.5,11.8,94.0,0.794,0.688,1047.7,9,0
24.9925,94.2129,Imphal,NER,659.4,8.9,351.9,1.0,3.1,0.618,0.666,843.5,6,0
24.6568,93.9277,Imphal,NER,392.5,10.6,162.5,6.0,35.6,0.83,0.466,1225.1,6,0
27.7909,94.9707,Dibrugarh,NER,1891.3,23.9,135.5,1.5,9.0,0.686,0.406,2574.9,6,0
25.8293,92.0721,Guwahati,NER,681.2,18.3,269.8,34.5,159.6,0.529,0.683,1422.2,9,0
23.1393,92.6915,Aizawl,NER,1383.9,19.7,100.6,9.0,89.7,0.751,0.256,535.1,7,0
26.3309,92.563,Tezpur,NER,660.6,2.7,315.3,11.0,89.8,0.795,0.447,4949.3,9,0
23.3703,92.7743,Aizawl,NER,286.9,23.8,307.4,1.6,6.1,0.468,0.409,7905.0,9,0
27.0534,94.4299,Dibrugarh,NER,1406.9,26.4,181.2,12.4,72.9,0.392,0.77,6024.5,7,0
24.0293,91.5505,Agartala,NER,2147.0,25.3,182.9,5.6,47.3,0.927,0.929,5563.3,7,0
26.9118,94.4884,Jorhat,NER,2317.8,12.0,222.9,10.6,92.1,0.356,0.721,1837.3,7,0
25.8325,91.7011,Guwahati,NER,1234.0,18.2,148.5,7.8,40.7,0.653,0.739,168.0,9,1
25.198,94.1857,Kohima,NER,2137.4,6.3,40.1,39.4,174.9,0.614,0.583,363.6,7,0
28.1943,94.9726,Dibrugarh,NER,375.8,6.0,19.6,2.0,12.4,0.563,0.835,837.5,6,0
27.3396,95.0487,Dibrugarh,NER,2301.3,2.5,261.0,12.6,69.7,0.829,0.759,1027.9,6,0
24.1581,90.971,Agartala,NER,1586.1,43.8,214.7,9.2,58.7,0.681,0.96,2457.1,6,0
