latitude,longitude,district,elevation,slope,aspect,month,rainfall_daily,rainfall_7day,ndvi,soil_moisture,distance_to_road,land_cover,landslide
27.1644,88.5626,Namchi,786.764,46.484,174,1,2.772,16.747,0.454,0.221,51552.7,agriculture,0
23.8224,91.2801,West Tripura,13.012,22.144,237,11,10.278,66.327,0.442,0.4,772.9,agriculture,0
25.4318,93.1875,Dima Hasao,397.938,59.946,296,2,6.533,33.363,0.244,0.292,105829.1,urban,0
22.9261,92.7619,Lunglei,912.04,34.816,226,10,23.296,135.703,0.408,0.516,92190.2,bare,0
27.1829,88.5784,Namchi,814.0,43.7,286,12,3.9,24.2,0.505,0.283,51552.7,grassland,0
27.3348,88.6332,Gangtok,1487.0,43.6,278,7,174.4,1314.9,0.529,0.941,71436.9,forest,1
24.8422,93.9359,Imphal East,740.762,40.906,76,1,6.677,46.032,0.316,0.211,854.3,bare,0
25.5348,90.1875,West Garo Hills,335.79,23.904,197,5,51.426,374.174,0.74,0.393,182468.5,grassland,0
28.0476,95.3103,East Siang,173.39,25.8,141,3,10.961,91.647,0.685,0.285,218221.6,forest,0
26.1261,91.7117,Kamrup,52.0,37.6,39,9,105.7,786.7,0.397,0.864,653.8,forest,1
25.3065,91.7515,East Khasi Hills,1067.538,37.591,86,2,10.233,79.214,0.464,0.241,37138.7,bare,0
25.6172,91.8989,East Khasi Hills,984.721,46.948,335,1,3.882,27.443,0.562,0.245,389.8,agriculture,0
23.835,91.3032,West Tripura,12.342,8.558,245,3,8.569,66.185,0.502,0.275,772.9,forest,0
25.5305,90.2477,West Garo Hills,332.082,36.857,277,2,8.123,39.373,0.54,0.291,182468.5,grassland,0
26.176,91.7505,Kamrup,52.0,28.1,95,9,191.8,1185.8,0.34,0.682,653.8,agriculture,1
23.8218,91.2958,West Tripura,12.123,22.493,258,10,46.421,292.361,0.458,0.553,772.9,bare,0
27.0949,93.7362,Papum Pare,160.0,35.7,271,11,10.1,84.5,0.512,0.308,8177.4,agriculture,0
22.8975,92.7514,Lunglei,905.442,40.269,178,11,10.093,55.998,0.31,0.316,92190.2,agriculture,0
27.5852,93.8684,Lower Subansiri,1702.06,50.253,341,3,18.715,144.855,0.832,0.33,59915.4,urban,0
28.0681,95.3267,East Siang,162.689,39.348,240,11,10.768,81.972,0.579,0.406,218221.6,agriculture,0
25.6549,94.0885,Kohima,1316.687,47.195,19,3,15.73,122.471,0.438,0.286,219.8,agriculture,0
25.8615,93.7449,Dimapur,153.155,14.828,194,4,34.555,193.49,0.351,0.318,50207.8,forest,0
24.7989,93.9447,Imphal East,787.039,39.54,23,3,17.832,154.079,0.468,0.282,854.3,agriculture,0
28.07,95.3015,East Siang,160.407,32.336,158,5,22.834,171.146,0.877,0.475,218221.6,grassland,0
23.8524,91.3027,West Tripura,12.017,17.717,81,10,37.195,279.735,0.459,0.382,772.9,agriculture,0
27.5844,93.8458,Lower Subansiri,1591.5,45.3,268,1,5.5,38.1,0.789,0.223,59915.4,forest,0
25.8513,93.4449,Karbi Anglong,184.161,28.064,201,1,4.842,38.399,0.368,0.287,78194.4,urban,0
28.0626,95.3371,East Siang,127.055,26.472,269,2,11.15,81.291,0.588,0.262,218221.6,bare,0
27.6032,93.8523,Lower Subansiri,1592.0,52.9,183,2,6.9,47.5,0.772,0.263,59915.4,grassland,0
28.0592,95.3552,East Siang,145.993,25.275,54,11,19.274,110.681,0.607,0.407,218221.6,forest,0
27.5402,88.5254,Mangan,870.664,65.116,29,4,34.767,237.235,0.331,0.356,88627.9,agriculture,0
25.5353,90.2098,West Garo Hills,337.55,31.798,247,1,4.113,31.489,0.477,0.23,182468.5,bare,0
23.711,92.6947,Aizawl,1119.516,45.543,264,4,35.011,214.348,0.506,0.344,417.8,bare,0
26.1357,91.7183,Kamrup,49.356,33.874,119,2,5.96,39.592,0.361,0.287,653.8,agriculture,0
25.5171,90.2589,West Garo Hills,342.0,31.8,258,7,178.8,1412.7,0.7,0.932,182468.5,bare,1
26.1233,91.731,Kamrup,53.513,42.433,142,3,7.281,57.928,0.472,0.305,653.8,grassland,0
25.814,93.4038,Karbi Anglong,203.212,39.802,231,1,4.08,25.299,0.317,0.215,78194.4,grassland,0
25.6557,94.1148,Kohima,1425.988,37.191,267,3,7.096,44.191,0.449,0.413,219.8,agriculture,0
28.0713,95.3388,East Siang,166.587,32.27,182,11,21.817,157.491,0.564,0.369,218221.6,agriculture,0
25.6678,94.1179,Kohima,1249.048,41.326,81,2,5.97,43.376,0.477,0.326,219.8,grassland,0
24.3117,93.6787,Churachandpur,862.0,38.9,279,7,150.1,1094.4,0.407,0.879,60247.5,urban,1
25.5308,90.2527,West Garo Hills,342.0,45.0,308,7,258.8,1959.3,0.684,0.769,182468.5,agriculture,1
25.4966,90.2334,West Garo Hills,369.572,37.489,139,12,5.088,38.183,0.439,0.336,182468.5,bare,0
27.0714,93.7357,Papum Pare,172.296,34.039,212,4,23.208,142.356,0.589,0.308,8177.4,agriculture,0
27.3365,88.6183,Gangtok,1450.47,46.505,10,2,4.465,28.162,0.341,0.282,71436.9,urban,0
27.1491,88.5547,Namchi,788.809,43.056,176,3,14.419,107.483,0.441,0.329,51552.7,forest,0
24.3373,93.654,Churachandpur,795.736,50.778,107,2,6.764,43.314,0.246,0.267,60247.5,agriculture,0
23.8456,91.2894,West Tripura,12.552,24.647,226,12,4.271,27.987,0.412,0.335,772.9,agriculture,0
25.8628,93.7532,Dimapur,149.352,15.866,0,3,7.871,54.015,0.343,0.353,50207.8,urban,0
28.087,95.3299,East Siang,151.548,27.934,178,11,18.321,110.358,0.629,0.407,218221.6,urban,0
27.1444,88.5396,Namchi,849.699,47.706,42,12,4.933,40.921,0.405,0.314,51552.7,forest,0
26.1678,91.7426,Kamrup,48.878,31.852,151,3,10.031,67.947,0.326,0.296,653.8,urban,0
25.4793,93.1629,Dima Hasao,386.651,58.698,234,3,22.429,160.558,0.406,0.337,105829.1,urban,0
27.1832,88.564,Namchi,782.787,47.84,56,2,6.963,48.009,0.506,0.316,51552.7,urban,0
25.5488,91.8918,East Khasi Hills,1019.824,35.891,103,10,48.826,333.456,0.561,0.585,389.8,bare,0
27.1077,93.6894,Papum Pare,175.533,26.322,82,11,18.368,115.474,0.497,0.352,8177.4,bare,0
25.8411,93.4445,Karbi Anglong,172.3,51.572,355,1,4.468,28.767,0.425,0.226,78194.4,grassland,0
27.1004,93.6677,Papum Pare,164.474,39.444,145,3,17.305,128.988,0.639,0.349,8177.4,bare,0
27.094,93.6729,Papum Pare,148.638,30.179,259,11,14.072,109.867,0.549,0.372,8177.4,bare,0
27.0835,93.7107,Papum Pare,151.455,28.609,75,3,20.465,121.793,0.63,0.343,8177.4,grassland,0
27.0682,93.6521,Papum Pare,169.084,30.438,18,1,3.95,30.951,0.59,0.192,8177.4,agriculture,0
25.585,91.8784,East Khasi Hills,1029.0,54.4,35,10,30.2,208.9,0.46,0.549,389.8,forest,1
25.8162,93.4341,Karbi Anglong,171.949,43.747,349,9,70.937,484.645,0.504,0.674,78194.4,bare,0
25.5668,91.936,East Khasi Hills,1116.218,40.708,158,10,23.336,139.582,0.499,0.493,389.8,forest,0
27.0677,93.6963,Papum Pare,160.67,36.21,7,10,19.003,136.311,0.463,0.447,8177.4,agriculture,0
25.5832,91.8766,East Khasi Hills,953.706,35.698,127,4,32.38,255.227,0.799,0.465,389.8,bare,0
23.7168,92.751,Aizawl,1137.941,42.256,238,2,10.868,95.032,0.361,0.242,417.8,agriculture,0
24.3241,93.6956,Churachandpur,921.632,44.482,162,11,7.764,69.446,0.169,0.35,60247.5,urban,0
28.0662,95.3065,East Siang,174.837,22.985,167,10,21.791,169.135,0.704,0.568,218221.6,urban,0
27.5853,93.8534,Lower Subansiri,1706.845,40.879,213,2,6.126,44.285,0.621,0.319,59915.4,urban,0
26.1526,91.7032,Kamrup,53.172,38.608,250,5,21.376,141.068,0.464,0.411,653.8,urban,0
25.5351,90.2067,West Garo Hills,357.609,48.51,249,5,25.502,179.255,0.654,0.459,182468.5,forest,0
28.0674,95.3372,East Siang,156.21,16.98,341,11,13.033,105.183,0.582,0.382,218221.6,bare,0
25.2864,91.7698,East Khasi Hills,1098.695,43.122,149,2,7.224,57.595,0.503,0.27,37138.7,bare,0
25.9329,93.74,Dimapur,158.187,20.876,4,10,21.034,138.851,0.292,0.537,50207.8,agriculture,0
22.9075,92.7566,Lunglei,865.742,38.875,326,12,6.758,53.454,0.402,0.273,92190.2,agriculture,0
27.5928,93.8662,Lower Subansiri,1592.0,44.8,216,11,8.4,50.4,0.628,0.284,59915.4,urban,1
25.5075,90.2465,West Garo Hills,354.631,37.904,321,10,28.092,226.698,0.557,0.547,182468.5,urban,0
23.8203,91.2696,West Tripura,11.635,22.057,61,10,27.802,166.183,0.467,0.377,772.9,agriculture,0
25.5571,91.8796,East Khasi Hills,1022.611,44.949,208,3,9.347,55.202,0.567,0.288,389.8,urban,0
23.7195,92.7261,Aizawl,1033.794,52.275,354,4,27.755,181.866,0.432,0.326,417.8,forest,0
22.9164,92.7263,Lunglei,896.484,30.429,284,1,5.05,26.503,0.415,0.216,92190.2,bare,0
25.6572,94.109,Kohima,1387.4,60,167,10,46.3,361.9,0.356,0.563,219.8,bare,1
24.3369,93.6443,Churachandpur,842.742,37.377,156,3,18.259,125.024,0.205,0.298,60247.5,urban,0
24.8229,93.9119,Imphal East,808.227,38.31,111,4,27.998,178.788,0.417,0.422,854.3,urban,0
27.1664,88.5415,Namchi,755.905,52.914,91,2,4.412,38.857,0.552,0.325,51552.7,grassland,0
28.0725,95.3658,East Siang,142.164,30.497,339,1,7.144,56.353,0.694,0.299,218221.6,bare,0
28.0536,95.3293,East Siang,142.719,30.922,10,4,14.975,113.606,0.748,0.457,218221.6,agriculture,0
25.9175,93.7244,Dimapur,147.33,11.754,276,1,5.875,46.137,0.319,0.276,50207.8,urban,0
27.1449,88.5495,Namchi,813.415,44.44,254,2,4.684,35.943,0.618,0.28,51552.7,bare,0
28.0667,95.3305,East Siang,200.381,30.988,276,2,8.335,41.863,0.769,0.282,218221.6,grassland,0
24.8137,93.9509,Imphal East,781.073,43.173,344,10,41.14,206.895,0.362,0.485,854.3,grassland,0
25.8952,93.7088,Dimapur,155.861,24.529,208,1,2.7,19.538,0.252,0.193,50207.8,bare,0
25.899,93.7157,Dimapur,155.865,14.058,338,6,81.884,519.805,0.44,0.88,50207.8,grassland,0
26.1364,91.7336,Kamrup,52.0,37.9,355,5,60.7,404.3,0.434,0.518,653.8,grassland,1
27.5156,88.5317,Mangan,796.0,51.4,234,9,66.4,494.3,0.291,0.842,88627.9,grassland,1
25.313,91.7258,East Khasi Hills,1079.148,38.788,277,10,27.249,163.262,0.397,0.417,37138.7,agriculture,0
22.8789,92.7515,Lunglei,978.605,31.154,242,11,10.25,62.936,0.377,0.31,92190.2,forest,0
28.0536,95.3293,East Siang,132.525,32.289,10,4,15.088,116.984,0.694,0.4,218221.6,agriculture,0
22.8897,92.7795,Lunglei,932.803,43.297,96,1,3.818,25.793,0.401,0.202,92190.2,grassland,0
23.8373,91.2549,West Tripura,11.441,14.464,128,3,16.923,119.228,0.506,0.362,772.9,agriculture,0
24.3408,93.6427,Churachandpur,910.616,41.613,80,2,10.452,64.634,0.204,0.274,60247.5,forest,0
25.6894,94.0771,Kohima,1459.394,45.814,320,4,19.662,121.125,0.437,0.338,219.8,urban,0
27.3478,88.5843,Gangtok,1469.6,53.8,130,1,5.2,35.3,0.421,0.224,71436.9,bare,0
25.8527,93.4284,Karbi Anglong,171.983,40.255,214,4,22.76,173.387,0.448,0.416,78194.4,forest,0
24.7962,93.9142,Imphal East,777.473,41.767,176,12,6.539,39.234,0.268,0.239,854.3,bare,0
25.5074,90.2136,West Garo Hills,341.585,39.575,73,12,4.943,33.979,0.556,0.31,182468.5,bare,0
28.0508,95.3309,East Siang,140.136,27.323,169,1,4.422,25.744,0.611,0.302,218221.6,grassland,0
25.4681,93.2281,Dima Hasao,453.719,46.443,168,1,6.619,50.232,0.367,0.252,105829.1,urban,0
22.8881,92.7537,Lunglei,938.04,41.798,211,2,8.731,49.058,0.394,0.261,92190.2,agriculture,0
27.528,88.5656,Mangan,852.91,61.013,262,1,3.932,28.595,0.193,0.195,88627.9,grassland,0
28.0757,95.3503,East Siang,131.603,28.87,256,3,16.892,113.318,0.75,0.248,218221.6,forest,0
25.8216,93.4604,Karbi Anglong,185.0,36.2,189,1,7.4,41.8,0.384,0.286,78194.4,agriculture,0
23.7099,92.7289,Aizawl,981.996,54.046,105,3,22.291,132.097,0.268,0.317,417.8,urban,0
27.1008,93.7256,Papum Pare,165.443,34.011,278,3,11.736,62.091,0.556,0.342,8177.4,forest,0
25.4292,93.1799,Dima Hasao,426.489,42.267,268,1,2.813,17.897,0.281,0.296,105829.1,bare,0
25.4851,93.1695,Dima Hasao,401.037,43.612,2,2,4.516,41.696,0.342,0.311,105829.1,agriculture,0
28.0734,95.3145,East Siang,161.0,21.4,340,5,32.3,218.1,0.805,0.397,218221.6,grassland,0
25.8627,93.4294,Karbi Anglong,185.0,42.4,168,9,142.1,876.3,0.446,0.721,78194.4,agriculture,1
25.2832,91.7256,East Khasi Hills,1029.0,53.0,66,3,14.6,103.4,0.525,0.263,37138.7,urban,1
28.0967,95.3356,East Siang,141.21,26.067,350,5,59.16,407.3,0.746,0.484,218221.6,forest,0
24.8206,93.9074,Imphal East,733.375,30.062,185,11,22.822,148.027,0.261,0.318,854.3,grassland,0
27.1446,88.5716,Namchi,835.669,55.849,28,2,9.737,66.878,0.566,0.273,51552.7,bare,0
25.8629,93.7491,Dimapur,142.238,24.889,94,2,7.886,50.073,0.349,0.31,50207.8,urban,0
27.1004,93.7302,Papum Pare,145.434,40.914,89,11,19.211,173.674,0.576,0.347,8177.4,bare,0
24.8421,93.9497,Imphal East,779.447,41.048,276,2,8.829,61.027,0.369,0.245,854.3,grassland,0
28.0193,95.2901,East Siang,164.343,26.907,212,7,149.951,979.98,0.808,0.632,218221.6,grassland,0
22.8711,92.7322,Lunglei,927.635,29.892,160,10,24.432,157.764,0.542,0.394,92190.2,grassland,0
24.3176,93.6868,Churachandpur,817.466,51.065,232,11,20.137,112.789,0.235,0.297,60247.5,bare,0
25.2634,91.7579,East Khasi Hills,963.898,39.772,281,1,7.221,36.112,0.361,0.285,37138.7,forest,0
27.5901,93.855,Lower Subansiri,1498.641,51.445,5,11,8.567,65.598,0.818,0.31,59915.4,urban,0
27.498,88.5044,Mangan,817.315,51.322,346,2,8.38,65.92,0.257,0.302,88627.9,bare,0
27.0857,93.7113,Papum Pare,153.166,39.644,0,3,14.352,130.656,0.586,0.289,8177.4,grassland,0
25.4776,93.1647,Dima Hasao,413.0,50.5,28,12,4.9,36.0,0.287,0.305,105829.1,urban,1
23.8512,91.2866,West Tripura,12.453,17.136,16,1,4.805,39.368,0.534,0.253,772.9,bare,0
28.1052,95.3538,East Siang,195.84,36.263,340,10,25.574,171.729,0.744,0.464,218221.6,urban,0
22.9136,92.7415,Lunglei,919.483,52.831,218,9,97.216,599.749,0.543,0.597,92190.2,agriculture,0
23.7174,92.6961,Aizawl,1141.536,54.452,12,2,9.342,60.646,0.323,0.232,417.8,urban,0
22.8959,92.7934,Lunglei,814.104,55.361,123,4,34.834,257.401,0.468,0.309,92190.2,bare,0
27.5117,88.538,Mangan,796.0,60,86,4,16.1,114.6,0.432,0.348,88627.9,agriculture,1
25.511,90.2373,West Garo Hills,327.069,33.965,298,3,17.736,138.386,0.538,0.4,182468.5,bare,0
24.8037,93.9433,Imphal East,687.226,39.264,295,1,3.473,21.447,0.43,0.278,854.3,agriculture,0
27.5078,88.5312,Mangan,796.0,51.4,78,10,28.5,233.5,0.326,0.491,88627.9,bare,1
24.7808,93.9456,Imphal East,772.415,42.756,209,5,34.378,259.943,0.554,0.451,854.3,urban,0
23.7264,92.7292,Aizawl,1095.5,56.5,287,4,28.7,169.2,0.44,0.326,417.8,agriculture,0
25.2922,91.7618,East Khasi Hills,1029.0,40.2,321,7,147.3,1178.4,0.546,0.832,37138.7,agriculture,1
25.5349,90.1982,West Garo Hills,322.54,39.021,156,11,10.313,57.753,0.58,0.305,182468.5,grassland,0
26.1844,91.7325,Kamrup,54.56,36.222,269,12,3.894,22.959,0.425,0.294,653.8,urban,0
23.8516,91.2642,West Tripura,11.236,15.023,305,10,36.442,213.778,0.552,0.579,772.9,agriculture,0
26.1176,91.7408,Kamrup,47.645,36.795,178,2,9.255,62.703,0.379,0.326,653.8,grassland,0
25.5169,90.2356,West Garo Hills,358.495,38.823,57,4,32.905,299.507,0.555,0.352,182468.5,grassland,0
23.8371,91.3104,West Tripura,13.078,10.41,268,10,51.345,314.28,0.451,0.446,772.9,agriculture,0
22.9066,92.7426,Lunglei,958.602,40.314,68,1,5.002,31.882,0.368,0.188,92190.2,agriculture,0
27.5772,93.8682,Lower Subansiri,1730.06,36.194,291,12,4.568,30.723,0.726,0.264,59915.4,bare,0
28.0846,95.3165,East Siang,151.256,25.93,334,10,32.448,263.373,0.559,0.598,218221.6,forest,0
25.8912,93.7182,Dimapur,154.936,15.998,18,2,10.459,81.386,0.31,0.305,50207.8,forest,0
23.7243,92.7017,Aizawl,987.8,47.85,72,1,3.542,21.425,0.186,0.224,417.8,bare,0
25.8344,93.4336,Karbi Anglong,188.336,39.678,151,12,5.891,46.07,0.423,0.239,78194.4,urban,0
23.7657,92.7272,Aizawl,1063.388,51.186,294,3,10.642,80.36,0.347,0.294,417.8,forest,0
28.0534,95.3317,East Siang,165.359,26.671,235,10,27.749,184.502,0.525,0.603,218221.6,forest,0
27.0708,93.6922,Papum Pare,156.02,29.487,7,12,5.524,33.782,0.406,0.264,8177.4,bare,0
26.1293,91.7529,Kamrup,47.61,40.437,236,4,27.788,210.551,0.366,0.411,653.8,agriculture,0
23.8322,91.2856,West Tripura,13.007,14.384,321,4,27.917,188.378,0.534,0.424,772.9,grassland,0
25.9211,93.7369,Dimapur,148.818,12.061,313,12,3.719,31.704,0.265,0.232,50207.8,bare,0
23.837,91.2835,West Tripura,11.834,26.688,312,1,5.761,50.388,0.366,0.26,772.9,forest,0
27.5745,93.8843,Lower Subansiri,1697.534,49.914,338,1,2.455,16.061,0.654,0.298,59915.4,forest,0
24.8091,93.9441,Imphal East,733.181,43.43,234,4,23.518,158.35,0.545,0.39,854.3,bare,0
24.7866,93.9104,Imphal East,782.0,45.6,9,10,39.1,252.8,0.278,0.419,854.3,forest,0
25.8847,93.7278,Dimapur,171.445,16.654,298,11,15.124,95.427,0.29,0.388,50207.8,grassland,0
24.8111,93.9379,Imphal East,790.625,46.002,284,4,25.078,162.903,0.386,0.335,854.3,agriculture,0
27.1666,88.5524,Namchi,814.0,43.6,153,12,6.3,45.5,0.396,0.33,51552.7,forest,0
27.3411,88.6025,Gangtok,1391.289,58.974,163,12,7.052,51.042,0.349,0.244,71436.9,agriculture,0
27.576,93.8625,Lower Subansiri,1592.0,44.6,221,5,67.1,394.0,0.851,0.455,59915.4,urban,1
24.8247,93.9444,Imphal East,698.589,38.729,358,2,6.529,44.705,0.34,0.318,854.3,urban,0
27.4781,88.5153,Mangan,831.336,63.104,182,10,30.753,196.522,0.239,0.45,88627.9,agriculture,0
23.8073,91.2851,West Tripura,11.244,23.311,318,12,5.662,43.459,0.5,0.317,772.9,bare,0
25.5624,91.9011,East Khasi Hills,1037.192,46.969,245,3,11.495,84.595,0.594,0.273,389.8,agriculture,0
27.5836,93.822,Lower Subansiri,1632.202,51.262,73,3,21.502,141.472,0.773,0.316,59915.4,urban,0
25.9305,93.7329,Dimapur,134.809,9.276,159,11,19.603,135.102,0.246,0.359,50207.8,bare,0
23.711,92.6947,Aizawl,1133.74,50.023,264,4,36.202,212.352,0.449,0.39,417.8,bare,0
26.1468,91.7749,Kamrup,48.074,34.841,208,3,13.691,91.601,0.403,0.266,653.8,urban,0
25.845,93.4234,Karbi Anglong,202.81,41.241,356,5,64.629,520.137,0.65,0.543,78194.4,grassland,0
27.6045,91.8752,Tawang,2791.0,60,61,7,218.6,1309.5,0.194,0.735,161256.5,bare,1
25.863,93.449,Karbi Anglong,189.043,40.643,170,1,5.371,31.372,0.412,0.264,78194.4,bare,0
24.3595,93.696,Churachandpur,862.0,46.3,359,7,249.1,2086.1,0.287,0.803,60247.5,urban,1
23.8429,91.2887,West Tripura,12.927,18.632,49,4,17.669,106.681,0.7,0.442,772.9,grassland,0
27.6033,93.8182,Lower Subansiri,1592.0,51.1,219,1,3.1,25.9,0.692,0.258,59915.4,grassland,0
26.1036,91.7297,Kamrup,55.714,28.327,292,1,3.425,18.591,0.323,0.285,653.8,agriculture,0
24.8187,93.9468,Imphal East,845.758,47.33,145,1,3.225,19.919,0.309,0.242,854.3,bare,0
27.0677,93.6808,Papum Pare,146.699,36.837,137,11,8.73,66.612,0.6,0.356,8177.4,forest,0
27.183,88.5606,Namchi,769.535,43.035,76,3,19.168,110.631,0.54,0.257,51552.7,urban,0
28.0443,95.3537,East Siang,131.244,28.079,286,1,7.141,47.71,0.439,0.244,218221.6,forest,0
27.3673,88.5826,Gangtok,1460.42,53.84,243,12,7.392,48.837,0.314,0.233,71436.9,agriculture,0
25.8304,93.4111,Karbi Anglong,194.677,35.669,154,3,21.0,178.386,0.535,0.295,78194.4,agriculture,0
25.522,90.2125,West Garo Hills,327.201,28.9,150,4,21.911,128.982,0.621,0.427,182468.5,bare,0
27.0642,93.7177,Papum Pare,150.27,28.185,110,11,12.469,92.821,0.506,0.4,8177.4,grassland,0
25.5122,90.2118,West Garo Hills,342.0,35.4,158,8,148.9,1190.0,0.652,0.778,182468.5,urban,1
25.573,91.9148,East Khasi Hills,1097.115,44.739,117,3,12.29,99.815,0.685,0.305,389.8,grassland,0
25.5225,90.2182,West Garo Hills,342.0,42.0,93,11,13.3,76.1,0.523,0.3,182468.5,bare,1
27.5885,91.8485,Tawang,2791.0,60,14,1,3.4,26.8,0.137,0.252,161256.5,agriculture,1
27.0889,93.7133,Papum Pare,154.172,23.564,9,10,27.409,178.54,0.549,0.473,8177.4,forest,0
27.1009,93.7022,Papum Pare,144.207,40.544,83,5,51.372,355.81,0.768,0.486,8177.4,urban,0
25.2613,91.7308,East Khasi Hills,1125.119,42.651,275,11,19.209,124.202,0.392,0.292,37138.7,bare,0
23.8339,91.3067,West Tripura,12.187,11.787,18,3,8.898,57.451,0.634,0.302,772.9,bare,0
25.9097,93.6712,Dimapur,174.383,23.239,234,12,6.398,49.522,0.222,0.269,50207.8,agriculture,0
27.0813,93.7298,Papum Pare,157.226,40.516,33,4,13.552,92.277,0.739,0.321,8177.4,grassland,0
25.8925,93.7383,Dimapur,156.19,22.261,98,6,112.309,724.874,0.477,0.651,50207.8,bare,0
25.4168,93.1606,Dima Hasao,409.68,42.129,284,11,10.248,73.527,0.362,0.343,105829.1,grassland,0
27.4777,88.5236,Mangan,796.0,60,308,1,5.4,44.0,0.236,0.261,88627.9,bare,1
23.8261,91.2681,West Tripura,13.035,14.158,328,2,10.846,76.541,0.493,0.307,772.9,forest,0
25.8816,93.7396,Dimapur,158.014,15.551,179,11,8.87,59.287,0.155,0.406,50207.8,agriculture,0
25.5201,90.2423,West Garo Hills,342.0,32.2,55,2,5.1,29.8,0.511,0.261,182468.5,agriculture,0
25.6377,94.046,Kohima,1365.0,50.7,268,5,26.5,219.1,0.54,0.489,219.8,agriculture,1
23.8636,91.2606,West Tripura,12.968,12.963,10,2,9.164,60.626,0.514,0.279,772.9,grassland,0
24.3092,93.6956,Churachandpur,809.02,47.839,175,1,6.071,39.73,0.201,0.241,60247.5,urban,0
27.0884,93.6842,Papum Pare,161.715,30.882,271,12,4.515,34.285,0.485,0.217,8177.4,urban,0
24.3547,93.6844,Churachandpur,840.671,47.009,70,3,16.312,111.33,0.255,0.367,60247.5,agriculture,0
23.8366,91.3149,West Tripura,12.873,23.747,221,12,3.73,28.184,0.549,0.282,772.9,grassland,0
24.3237,93.6904,Churachandpur,844.822,38.346,124,5,28.436,170.833,0.324,0.478,60247.5,grassland,0
27.5945,91.8941,Tawang,2791.0,60,302,9,178.9,1044.4,0.168,0.759,161256.5,bare,1
25.5388,90.224,West Garo Hills,375.409,31.509,202,12,4.102,23.038,0.464,0.261,182468.5,agriculture,0
25.5046,90.2238,West Garo Hills,345.661,27.673,48,5,50.339,295.438,0.734,0.538,182468.5,agriculture,0
22.8982,92.7438,Lunglei,890.0,47.6,31,6,172.9,1334.6,0.506,0.816,92190.2,agriculture,1
27.1853,88.5445,Namchi,789.682,46.728,351,4,30.482,256.577,0.442,0.405,51552.7,grassland,0
28.0164,95.323,East Siang,124.323,25.607,305,6,88.458,580.524,0.73,0.752,218221.6,grassland,0
25.6286,94.1301,Kohima,1365.0,60,245,5,38.7,243.1,0.595,0.391,219.8,bare,1
